feature,category
XP_023145769.2,osmoregulation
XP_023145770.2,osmoregulation
XP_054871359.1,osmoregulation
XP_054871360.1,osmoregulation
XP_023145569.1,osmoregulation
XP_023154716.1,osmoregulation
XP_054873322.1,osmoregulation
XP_035804222.1,osmoregulation
XP_023134304.1,osmoregulation
XP_023134312.1,osmoregulation
XP_023127683.1,osmoregulation
XP_023121707.2,osmoregulation
XP_023125711.2,osmoregulation
XP_023143319.1,osmoregulation
XP_023143306.2,osmoregulation
XP_023145878.1,osmoregulation
XP_023129757.1,osmoregulation
XP_023148205.2,osmoregulation
XP_023129110.2,osmoregulation
XP_023125450.1,ossification
XP_023136701.2,ossification
XP_023136702.2,ossification
XP_054875288.1,ossification
XP_023141149.1,ossification
XP_023126379.2,ossification
XP_035804230.2,ossification
XP_023147732.2,ossification
XP_054863063.1,ossification
XP_023133605.2,ossification
XP_023133606.2,ossification
XP_023154520.1,ossification
XP_023142462.1,ossification
XP_023142913.1,ossification
XP_023142914.1,ossification
XP_023134073.1,ossification
XP_023151661.1,ossification
XP_023151662.1,ossification
XP_023122136.2,ossification
XP_035802174.2,ossification
XP_023136362.2,ossification
XP_023141639.2,ossification
XP_023150191.1,ossification
XP_023126384.1,ossification
XP_023121797.1,ossification
XP_023133105.1,ossification
XP_035807356.1,ossification
XP_023117105.1,ossification
XP_023155635.1,ossification
XP_023129066.2,ossification
XP_054868594.1,ossification
XP_054873586.1,ossification
XP_023151552.1,ossification
XP_023140823.1,ossification
XP_023140825.1,ossification
XP_023124794.1,ossification
XP_035803478.1,ossification
XP_023154805.1,ossification
XP_023142131.2,ossification
XP_054873633.1,ossification
XP_023133605.2,ossification
XP_023133606.2,ossification
XP_023120919.1,ossification
XP_035801798.1,ossification
XP_054873147.1,ossification
XP_054873148.1,ossification
XP_023121388.2,ossification
XP_054873469.1,ossification
XP_054865340.1,ossification
XP_023140550.3,ossification
XP_035813260.2,ossification
XP_035813261.2,ossification
XP_023141797.1,ossification
XP_054874374.1,ossification
XP_054874375.1,ossification
XP_023122177.1,ossification
XP_023122184.1,ossification
XP_023118636.1,ossification
XP_023118638.1,ossification
XP_023119999.1,ossification
XP_023145807.2,ossification
XP_023122767.1,ossification
XP_035802584.1,ossification
XP_035807430.2,ossification
XP_035807431.2,ossification
XP_023145937.1,ossification
XP_023126140.1,ossification
XP_023151661.1,ossification
XP_023151662.1,ossification
XP_023122136.2,ossification
XP_035802174.2,ossification
XP_023136362.2,ossification
XP_023141639.2,ossification
XP_023150191.1,ossification
XP_023143231.1,ossification
XP_023117105.1,ossification
XP_023127008.1,ossification
XP_023140823.1,ossification
XP_023140825.1,ossification
XP_023124794.1,ossification
XP_035803478.1,ossification
XP_023127445.1,ossification
XP_054872884.1,ossification
XP_023133605.2,ossification
XP_023133606.2,ossification
XP_023154616.2,ossification
XP_035799108.2,ossification
XP_035805116.1,ossification
XP_023128324.1,ossification
XP_023143433.1,ossification
XP_023119999.1,ossification
XP_054872287.1,ossification
XP_023144881.1,ossification
XP_023132095.1,ossification
XP_023141217.1,ossification
XP_023132191.1,ossification
XP_023137043.1,ossification
XP_023148850.2,ossification
XP_054866673.1,ossification
XP_054866677.1,ossification
XP_054865376.1,ossification
XP_023153390.1,ossification
XP_023144681.2,ossification
XP_023153958.2,ossification
XP_023132999.2,ossification
P_023133001.2,ossification
XP_023139982.1,ossification
XP_023139983.1,ossification
XP_023119999.1,ossification
XP_023146524.2,ossification
XP_023125970.1,ossification
