gene,category
ENSDARG00000007739,osmoregulation
ENSDARG00000039131,osmoregulation
ENSDARG00000001870,osmoregulation
ENSDARG00000019856,osmoregulation
ENSDARG00000115121,osmoregulation
ENSDARG00000113354,osmoregulation
ENSDARG00000034424,osmoregulation
ENSDARG00000040252,osmoregulation
ENSDARG00000031681,osmoregulation
ENSDARG00000031681,osmoregulation
ENSDARG00000020847,osmoregulation
ENSDARG00000026787,osmoregulation
ENSDARG00000023713,osmoregulation
ENSDARG00000076318,osmoregulation
ENSDARG00000112815,osmoregulation
ENSDARG00000023967,osmoregulation
ENSDARG00000034534,osmoregulation
ENSDARG00000113437,osmoregulation
ENSDARG00000003808,osmoregulation
ENSDARG00000038185,osmoregulation
ENSDARG00000038185,osmoregulation
ENSDARG00000016570,osmoregulation
ENSDARG00000004243,osmoregulation
ENSDARG00000025162,osmoregulation
ENSDARG00000104573,osmoregulation
ENSDARG00000007086,osmoregulation
ENSDARG00000112181,osmoregulation
ENSDARG00000010565,osmoregulation
ENSDARG00000115150,osmoregulation
ENSDARG00000045141,osmoregulation
ENSDARG00000035880,osmoregulation
ENSDARG00000112507,osmoregulation
ENSDARG00000100555,osmoregulation
ENSDARG00000015174,osmoregulation
ENSDARG00000025032,osmoregulation
ENSDARG00000025032,osmoregulation
ENSDARG00000116957,osmoregulation
ENSDARG00000112480,osmoregulation
ENSDARG00000025032,osmoregulation
ENSDARG00000116957,osmoregulation
ENSDARG00000116957,osmoregulation
ENSDARG00000112480,osmoregulation
ENSDARG00000112480,osmoregulation
ENSDARG00000089749,osmoregulation
ENSDARG00000045788,osmoregulation
ENSDARG00000110312,osmoregulation
ENSDARG00000041107,osmoregulation
ENSDARG00000091027,osmoregulation
ENSDARG00000110064,osmoregulation
ENSDARG00000003269,osmoregulation
ENSDARG00000007671,osmoregulation
ENSDARG00000007671,osmoregulation
ENSDARG00000007671,osmoregulation
ENSDARG00000035565,osmoregulation
ENSDARG00000113695,osmoregulation
ENSDARG00000035538,osmoregulation
ENSDARG00000045955,osmoregulation
ENSDARG00000102082,osmoregulation
ENSDARG00000115513,osmoregulation
ENSDARG00000115513,osmoregulation
ENSDARG00000102082,osmoregulation
ENSDARG00000071592,osmoregulation
ENSDARG00000113224,osmoregulation
ENSDARG00000111864,osmoregulation
ENSDARG00000111864,osmoregulation
ENSDARG00000092696,osmoregulation
ENSDARG00000092696,osmoregulation
ENSDARG00000069518,osmoregulation
ENSDARG00000053480,osmoregulation
ENSDARG00000077083,osmoregulation
ENSDARG00000044900,osmoregulation
ENSDARG00000042014,osmoregulation
ENSDARG00000042014,osmoregulation
ENSDARG00000037946,osmoregulation
ENSDARG00000054700,osmoregulation
ENSDARG00000111271,osmoregulation
ENSDARG00000018744,osmoregulation
ENSDARG00000112689,osmoregulation
ENSDARG00000054771,osmoregulation
ENSDARG00000112689,osmoregulation
ENSDARG00000054771,osmoregulation
ENSDARG00000112689,osmoregulation
ENSDARG00000054771,osmoregulation
ENSDARG00000058678,osmoregulation
ENSDARG00000053262,osmoregulation
ENSDARG00000062427,osmoregulation
ENSDARG00000104550,osmoregulation
ENSDARG00000112525,osmoregulation
ENSDARG00000099462,osmoregulation
NA,osmoregulation
ENSDARG00000055253,osmoregulation
ENSDARG00000071173,osmoregulation
ENSDARG00000013855,osmoregulation
ENSDARG00000055313,osmoregulation
ENSDARG00000012881,osmoregulation
ENSDARG00000014488,osmoregulation
ENSDARG00000014488,osmoregulation
ENSDARG00000097292,osmoregulation
ENSDARG00000024560,osmoregulation
ENSDARG00000058780,osmoregulation
ENSDARG00000058498,osmoregulation
ENSDARG00000036722,osmoregulation
ENSDARG00000013730,osmoregulation
ENSDARG00000009018,osmoregulation
ENSDARG00000100265,osmoregulation
ENSDARG00000014047,osmoregulation
ENSDARG00000114912,osmoregulation
ENSDARG00000043128,osmoregulation
ENSDARG00000030723,osmoregulation
ENSDARG00000003927,osmoregulation
ENSDARG00000058937,osmoregulation
ENSDARG00000111867,osmoregulation
ENSDARG00000005108,osmoregulation
ENSDARG00000043716,osmoregulation
ENSDARG00000111721,osmoregulation
ENSDARG00000036376,osmoregulation
ENSDARG00000115826,osmoregulation
ENSDARG00000020031,osmoregulation
ENSDARG00000014059,osmoregulation
ENSDARG00000003091,osmoregulation
ENSDARG00000044569,osmoregulation
ENSDARG00000009215,osmoregulation
ENSDARG00000028096,osmoregulation
ENSDARG00000103087,osmoregulation
ENSDARG00000044387,osmoregulation
ENSDARG00000087805,osmoregulation
ENSDARG00000112049,osmoregulation
ENSDARG00000101109,osmoregulation
ENSDARG00000069505,osmoregulation
ENSDARG00000076137,osmoregulation
ENSDARG00000104528,osmoregulation
NA,osmoregulation
ENSDARG00000062363,ossification
ENSDARG00000109751,ossification
ENSDARG00000071377,ossification
ENSDARG00000071377,ossification
ENSDARG00000109751,ossification
ENSDARG00000086189,ossification
ENSDARG00000038185,ossification
ENSDARG00000038185,ossification
ENSDARG00000007671,ossification
ENSDARG00000007671,ossification
ENSDARG00000007671,ossification
ENSDARG00000112689,ossification
ENSDARG00000054771,ossification
ENSDARG00000112689,ossification
ENSDARG00000054771,ossification
ENSDARG00000112689,ossification
ENSDARG00000054771,ossification
ENSDARG00000110341,ossification
ENSDARG00000110341,ossification
ENSDARG00000003293,ossification
ENSDARG00000003293,ossification
ENSDARG00000003293,ossification
ENSDARG00000043923,ossification
ENSDARG00000043923,ossification
ENSDARG00000043923,ossification
ENSDARG00000004402,ossification
ENSDARG00000114205,ossification
ENSDARG00000114205,ossification
ENSDARG00000004402,ossification
ENSDARG00000013847,ossification
ENSDARG00000013847,ossification
ENSDARG00000013847,ossification
ENSDARG00000013847,ossification
ENSDARG00000055554,ossification
ENSDARG00000055554,ossification
ENSDARG00000055554,ossification
ENSDARG00000036222,ossification
ENSDARG00000036222,ossification
ENSDARG00000028148,ossification
ENSDARG00000028148,ossification
ENSDARG00000018260,ossification
ENSDARG00000021163,ossification
ENSDARG00000021163,ossification
ENSDARG00000019995,ossification
ENSDARG00000000151,ossification
ENSDARG00000000151,ossification
ENSDARG00000058822,ossification
ENSDARG00000058822,ossification
ENSDARG00000032578,ossification
ENSDARG00000032578,ossification
ENSDARG00000011948,ossification
ENSDARG00000011948,ossification
ENSDARG00000071524,ossification
ENSDARG00000071524,ossification
ENSDARG00000003216,ossification
ENSDARG00000003216,ossification
ENSDARG00000035809,ossification
ENSDARG00000026726,ossification
ENSDARG00000026726,ossification
ENSDARG00000020007,ossification
ENSDARG00000116113,ossification
ENSDARG00000012405,ossification
ENSDARG00000104267,ossification
ENSDARG00000100095,ossification
ENSDARG00000100095,ossification
ENSDARG00000041502,ossification
ENSDARG00000013847,ossification
ENSDARG00000013847,ossification
ENSDARG00000013847,ossification
ENSDARG00000013847,ossification
ENSDARG00000043806,ossification
